Gene	H_6h_1	H_6h_2	H_6h_3	H_6h_4	N_6h_1	N_6h_2	N_6h_3	N_6h_4	H_12h_1	H_12h_2	N_12h_1	N_12h_2	N_12h_3	H_D1_1	H_D1_2	H_D1_3	H_D1_4	N_D1_1	N_D1_2	N_D1_3	N_D1_4	H_D2_1	H_D2_2	H_D2_3	H_D2_4	N_D2_1	N_D2_2	N_D2_3	N_D2_4
LTBP3	10.264	9.368	9.174	7.09	7.68	7.757	5.938	6.412	12.845	12.041	7.835	9.259	9.457	18.266	19.277	22.905	14.444	7.906	8.974	8.023	8.621	19.849	18.744	19.196	17.916	7.959	10.217	7.145	8.024
NAALADL1	18.345	14.983	17.184	16.142	17.688	17.169	16.447	17.604	16.811	19.81	21.031	22.681	19.416	16.688	20.227	21.929	18.601	20.124	22.361	22.223	19.274	16.238	17.661	17.417	18.918	42.447	39.242	37.881	42.845
SAC3D1	7.689	8.653	7.051	7.868	13.181	14.838	15.562	15.665	4.746	5.611	16.528	14.121	16.536	3.183	2.57	3.036	2.601	15.53	13.652	13.958	12.56	1.923	1.688	1.428	1.794	14.577	12.309	13.939	13.348
BATF2	6.564	6.728	6.885	6.311	6.553	6.733	6.115	6.258	7.532	6.172	8.485	7.657	8.083	7.528	8.102	7.807	6.827	7.218	6.12	5.583	6.466	4.547	4.51	4.837	4.116	9.436	8.395	9.258	7.744
SF1	178.657	183.755	170.901	171.154	257.578	269.46	268.829	266.387	148.279	144.776	207.031	194.868	200.418	111.754	113.988	93.733	92.146	225.268	196.395	206.011	177.625	131.334	123.979	115.077	111.4	240.131	206.229	216.556	187.606
MAP4K2	6.99	7.682	7.457	6.582	8.055	7.887	8.143	8.351	6.8	5.783	9.552	9.579	8.691	3.044	2.682	2.792	2.16	8.874	7.709	6.221	6.218	1.299	0.831	1.128	0.95	5.88	5.096	6.048	5.069
CCDC88B	7.706	7.539	7.162	7.394	5.84	6.537	5.616	5.913	12.349	10.941	8.407	8.298	9.087	13.118	14.221	23.528	13.353	9.656	10.533	9.892	10.033	20.187	15.822	10.626	13.377	8.643	8.666	7.187	7.311
SCARA3	1.313	2.274	1.458	1.066	1.821	1.656	1.384	1.248	0.567	0.712	0.755	0.728	0.766	0.249	0.028	0.136	0.046	0.625	0.382	0.396	0.223	0	0	0	0	0.109	0.074	0.166	0.076
PBK	74.709	79.066	76.102	78.936	86.729	87.46	88.285	92.898	43.256	44.54	52.369	51.563	57.93	22.03	22.183	22.878	27.124	81.933	83.619	81.09	79.969	16.42	16.779	17.768	18.443	56.641	55.022	65.924	52.168
COPS6	80.506	89.706	84.094	87.548	106.445	107.418	110.026	109.465	78.437	79.973	112.313	103.883	106.166	53.358	49.283	56.029	43.124	95.401	93.152	90.058	88.441	31.853	30.585	29.947	32.85	84.593	84.22	90.094	89.689
PAFAH1B2	118.372	124.825	108.403	119.258	145.068	136.985	142.694	144.597	85.567	100.236	147.894	132.765	144.68	70.351	67.303	58.983	65.278	131.461	131.636	132.395	121.415	89.167	96.341	107.935	96.571	147.115	134.688	138.869	136.61
ANKS3	7.075	6.585	6.7	6.396	11.322	10.633	11.281	10.904	4.817	4.942	8.928	8.327	8.981	3.127	3.772	6.207	2.508	7.843	6.591	7.21	5.847	3.897	4.61	3.734	2.982	9.354	8.272	8.45	6.776
NUDT16L1	24.107	28.359	25.952	26.87	35.563	36.017	41.664	38.607	20.731	24.773	47.814	39.684	40.416	12.814	13.55	20.899	14.189	33.029	30.57	29.895	29.01	7.924	7.331	7.343	6.86	34.351	33.136	35.499	34.719
KIAA1586	5.916	5.917	5.39	5.821	10.815	10.35	11.394	11.173	3.188	3.884	8.355	8.473	7.555	1.771	1.453	1.464	1.927	7.218	8.327	7.012	5.847	0.909	0.831	0.777	1.135	7.084	5.268	6.69	5.171
RAB4A	91.127	96.577	94.762	95.146	92.062	92.035	92.839	95.931	85.921	98.834	93.729	83.765	91.663	96.864	100.187	107.503	100.065	79.714	85.355	82.739	85.493	106.885	112.491	120.966	119.394	70.918	75.012	77.398	77.895
